Account,date,daily_pnl,trades_per_day,avg_trade_size,avg_leverage,total_buys,total_sells,long_short_ratio,win_rate,avg_leverage_per_trader,classification,value
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,5089.718248587571,11.350282485875706,0,177,0.0,0.3596123624934521,10.658983761131482,Extreme Greed,76
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,7976.664411764705,9.941176470588236,0,68,0.0,0.3596123624934521,10.658983761131482,Extreme Greed,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,23734.5,10.95,0,40,0.0,0.3596123624934521,10.658983761131482,Extreme Greed,83
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,28186.666666666668,11.0,12,0,1200000.0,0.3596123624934521,10.658983761131482,Extreme Greed,94
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,17248.14814814815,7.851851851851852,12,15,0.7999994666670223,0.3596123624934521,10.658983761131482,Extreme Greed,79
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,16058.536341463414,11.74390243902439,82,0,8199999.999999999,0.3596123624934521,10.658983761131482,Extreme Greed,77
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,48561.68565217392,9.91304347826087,0,23,0.0,0.3596123624934521,10.658983761131482,Extreme Greed,84
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,36736.36242424243,11.545454545454545,33,0,3299999.9999999995,0.3596123624934521,10.658983761131482,Greed,72
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,11410.954021505377,10.036559139784947,112,353,0.31728044426967583,0.3596123624934521,10.658983761131482,Extreme Greed,77
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,9400.588039215687,10.901960784313726,28,23,1.217390775047489,0.3596123624934521,10.658983761131482,Extreme Greed,76
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,185847.0,5.4,9,1,8.999910000899991,0.3596123624934521,10.658983761131482,Greed,60
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,23593.019856972587,10.787842669845054,350,489,0.7157464066309529,0.3596123624934521,10.658983761131482,Fear,44
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,10576.687156308852,10.774011299435028,111,420,0.26428570799319745,0.3596123624934521,10.658983761131482,Greed,72
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,26585.06338095238,10.152380952380952,78,132,0.590909046143254,0.3596123624934521,10.658983761131482,Neutral,54
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,10161.056241134751,10.97163120567376,132,9,14.666650370388478,0.3596123624934521,10.658983761131482,Neutral,46
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,32032.5,11.520833333333334,16,32,0.4999998437500488,0.3596123624934521,10.658983761131482,Fear,43
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,134600.00166666668,8.333333333333334,0,6,0.0,0.3596123624934521,10.658983761131482,Neutral,47
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,27178.041694915253,11.305084745762711,31,28,1.107142461734835,0.3596123624934521,10.658983761131482,Neutral,49
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,13233.776894977169,10.538812785388128,93,126,0.7380951795162556,0.3596123624934521,10.658983761131482,Fear,25
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,24958.908545454546,10.50909090909091,1,54,0.01851851508916387,0.3596123624934521,10.658983761131482,Extreme Fear,16
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,2985.797555555556,10.666666666666666,36,9,3.999995555560494,0.3596123624934521,10.658983761131482,Extreme Fear,20
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,8371.136099843994,10.80811232449298,540,101,5.346534124105532,0.3596123624934521,10.658983761131482,Fear,33
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,79640.0,12.2,4,1,3.9999600003999958,0.3596123624934521,10.658983761131482,Neutral,45
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,21491.640322580646,9.806451612903226,31,0,3099999.9999999995,0.3596123624934521,10.658983761131482,Fear,43
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,2469.9509090909087,10.636363636363637,8,47,0.17021272974197238,0.4427197802197802,10.399862637362638,Extreme Greed,84
